,prediction
0,11.497453324532845
1,79.49991755905984
2,7.497425309545312
3,38.49882204720263
4,64.49817865105642
5,38.49882204720263
6,94.50030241330914
7,97.49872013026783
8,29.497659416706785
9,26.49847882742998
10,96.50035330428092
11,14.498111023417565
12,10.49797773469199
13,51.499178951161
14,65.4981945347916
15,82.49847005283067
16,35.49774146838701
17,93.50027693335721
18,12.49746203265697
19,65.49955225018275
20,78.49989168128769
21,69.49825846252415
22,21.498329712071577
23,82.49847005283067
24,31.498623926442914
25,17.497512173034742
26,28.498537286796022
27,82.49999501471589
28,90.49860273175194
29,39.49884995848892
30,71.4997096463431
31,71.49829065012734
32,91.49861943213766
33,39.49884995848892
34,54.49925976227079
35,91.49861943213766
36,54.498022251627454
37,13.498078437061745
38,32.498652553941696
39,24.49759472466116
40,21.49755798859827
41,99.49875387639335
42,21.49755798859827
43,11.498011856976877
44,29.497659416706785
45,72.49830679709017
46,26.49847882742998
47,77.49838803501025
48,12.49746203265697
49,96.49870329008981
50,91.50022590265304
51,47.49907038461992
52,43.49896077041751
53,17.498206519971056
54,59.499393404067185
55,28.497646177285915
56,3.4974177410628644
57,68.49963111729753
58,21.498329712071577
59,84.498503062216
60,70.49827453835309
61,82.49847005283067
62,40.49781270374678
63,63.49816280843861
64,26.49847882742998
65,64.49952588200195
66,13.498078437061745
67,83.49848654360349
68,77.49986577295631
69,53.499232880324215
70,1.497437129240706
71,60.49941998807411
72,91.50022590265304
73,25.497607344496473
74,45.49788602958165
75,95.50032787016242
76,80.49994340685119
77,49.49794596362043
78,40.49781270374678
79,18.498237711012425
80,29.498566299291152
81,35.49774146838701
82,73.4997618217915
83,1.4976055331088964
84,34.49772751036184
85,49.499124790697756
86,18.498237711012425
87,56.49805314928776
88,60.49811553732023
89,65.4981945347916
90,55.499286591163376
91,4.497416305180629
92,28.497646177285915
93,1.497437129240706
94,78.49840437859487
95,30.49859517694387
96,4.497416305180629
97,20.497546161879974
98,58.4993667736063
99,13.498078437061745
100,63.49949947270376
101,76.49983983346841
102,45.499015717072496
103,20.497546161879974
104,50.49915190070299
105,91.49861943213766
106,88.49856940536395
107,47.49907038461992
108,40.49781270374678
109,95.50032787016242
110,92.50025142993304
111,82.49999501471589
112,40.49781270374678
113,63.49816280843861
114,26.497620132819915
115,1.497437129240706
116,18.497523233909373
117,90.50020035112273
118,26.49847882742998
119,95.50032787016242
120,15.498143207275358
121,18.497523233909373
